"","term","estimate"
"2045","zT",29.8944587665352
"2046","zRH",285.357241394284
"2047","log10Dref",2.3589396253145
"2048","zT",29.2875052286777
"2049","zRH",275.32684301689
"2050","log10Dref",2.36934984740849
"2051","zT",28.6684589938825
"2052","zRH",322.985167804035
"2053","log10Dref",2.3272366050108
"2054","zT",30.4336887607439
"2055","zRH",257.496063633216
"2056","log10Dref",2.33405458503739
"2057","zT",28.9690244975216
"2058","zRH",298.681462056702
"2059","log10Dref",2.45935864506314
"2060","zT",28.6987211616617
"2061","zRH",192.977693731149
"2062","log10Dref",2.31358410363322
"2063","zT",28.7840510649895
"2064","zRH",206.3583049157
"2065","log10Dref",2.42132011690706
"2066","zT",29.0594784723213
"2067","zRH",237.429071939628
"2068","log10Dref",2.29015263596146
"2069","zT",29.62225513813
"2070","zRH",256.805169833082
"2071","log10Dref",2.2428840450864
"2072","zT",29.0192906494272
"2073","zRH",814.158520526889
"2074","log10Dref",2.40716492027207
"2075","zT",29.0819499877777
"2076","zRH",224.154960695077
"2077","log10Dref",2.37606497261847
"2078","zT",28.8973478553034
"2079","zRH",253.870456799292
"2080","log10Dref",2.2376505019151
"2081","zT",29.704168429029
"2082","zRH",650.257996270545
"2083","log10Dref",2.36970368003657
"2084","zT",28.4693372587477
"2085","zRH",382.482969770981
"2086","log10Dref",2.41150944542809
"2087","zT",28.9403280878892
"2088","zRH",202.822139974546
"2089","log10Dref",2.44833456780746
"2090","zT",28.3680047988616
"2091","zRH",179.877638467182
"2092","log10Dref",2.21430270437658
"2093","zT",29.974332905103
"2094","zRH",389.454205384884
"2095","log10Dref",2.17316188015771
"2096","zT",30.4646153836554
"2097","zRH",414.045238971702
"2098","log10Dref",2.42353163917886
"2099","zT",27.8692440396649
"2100","zRH",330.6668446051
"2101","log10Dref",2.42008623907573
"2102","zT",28.3473399177488
"2103","zRH",249.58757825374
"2104","log10Dref",2.26551967599976
"2105","zT",28.8769701767111
"2106","zRH",584.35051555392
"2107","log10Dref",2.33295080244237
"2108","zT",29.001721462748
"2109","zRH",443.176851068252
"2110","log10Dref",2.38274401807079
"2111","zT",28.7447216450961
"2112","zRH",288.129842068402
"2113","log10Dref",2.18539545398535
"2114","zT",30.335190646503
"2115","zRH",230.072795864853
"2116","log10Dref",2.41610160788209
"2117","zT",28.6937171694622
"2118","zRH",242.573168998079
"2119","log10Dref",2.43042936276678
"2120","zT",28.4984754882085
"2121","zRH",201.362372736251
"2122","log10Dref",2.35583272429224
"2123","zT",29.0006002272412
"2124","zRH",317.047305996385
"2125","log10Dref",2.58058748823422
"2126","zT",28.1996690126631
"2127","zRH",161.819076356507
"2128","log10Dref",2.37282288346674
"2129","zT",28.8205406717443
"2130","zRH",238.242484226488
"2131","log10Dref",2.36204638094091
"2132","zT",28.8395972171085
"2133","zRH",331.878101479955
"2134","log10Dref",2.5150924907682
"2135","zT",27.6358365136532
"2136","zRH",173.808122164779
"2137","log10Dref",2.41045957969406
"2138","zT",28.6496743549052
"2139","zRH",251.280154646913
"2140","log10Dref",2.39529950385478
"2141","zT",29.1624246359965
"2142","zRH",290.114474568879
"2143","log10Dref",2.39812890299067
"2144","zT",29.0144647506291
"2145","zRH",197.771693925157
"2146","log10Dref",2.47087582208329
"2147","zT",28.2405213203924
"2148","zRH",188.411451944113
"2149","log10Dref",2.32705646167918
"2150","zT",29.4410605615743
"2151","zRH",253.027828969278
"2152","log10Dref",2.2500001010681
"2153","zT",29.4761233390521
"2154","zRH",415.729033444112
"2155","log10Dref",2.23542771547938
"2156","zT",29.1225701557454
"2157","zRH",523.188824659199
"2158","log10Dref",2.34666910948653
"2159","zT",28.568018228672
"2160","zRH",225.679532526261
"2161","log10Dref",2.29159592051618
"2162","zT",29.697264843853
"2163","zRH",231.314193917429
"2164","log10Dref",2.34916234453764
"2165","zT",28.5240410508387
"2166","zRH",262.859593846628
"2167","log10Dref",2.38881105018814
"2168","zT",29.1724876941282
"2169","zRH",206.44118299339
"2170","log10Dref",2.31157648410949
"2171","zT",29.548382137864
"2172","zRH",219.391738401835
"2173","log10Dref",2.39148261994165
"2174","zT",28.4696467794855
"2175","zRH",257.431364611686
"2176","log10Dref",2.48187771428148
"2177","zT",28.86169014104
"2178","zRH",205.763256119724
"2179","log10Dref",2.50284331899141
"2180","zT",28.1787007552523
"2181","zRH",232.754794791895
"2182","log10Dref",2.52419350751888
"2183","zT",28.0970598094962
"2184","zRH",199.139708483786
"2185","log10Dref",2.19521234451179
"2186","zT",29.2882344454083
"2187","zRH",325.649783529883
"2188","log10Dref",2.28691144534868
"2189","zT",29.3974387574809
"2190","zRH",314.650483475533
"2191","log10Dref",2.32359033163808
"2192","zT",29.4695362432165
"2193","zRH",292.80968082968
"2194","log10Dref",2.42609903454625
"2195","zT",28.3224696154508
"2196","zRH",306.036352799255
"2197","log10Dref",2.39954618381054
"2198","zT",28.7670677921503
"2199","zRH",266.533496078459
"2200","log10Dref",2.24135369518429
"2201","zT",29.8919021633447
"2202","zRH",411.617460213456
"2203","log10Dref",2.30267285427176
"2204","zT",29.3105067716639
"2205","zRH",575.207281299048
"2206","log10Dref",2.31139025799991
"2207","zT",28.8905186068727
"2208","zRH",328.532618670932
"2209","log10Dref",2.32788549462027
"2210","zT",29.0845507638153
"2211","zRH",340.810271255281
"2212","log10Dref",2.30979553460778
"2213","zT",28.9915328879981
"2214","zRH",299.592892752491
"2215","log10Dref",2.23808946362128
"2216","zT",30.8206083513162
"2217","zRH",390.108897371288
"2218","log10Dref",2.22712130312224
